DATAFLOW,REF_AREA:Geographic area,Country Name,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,Algeria,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,22.68297411,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,21.53285389,23.91256821,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,Andorra,CME_MRY0T4: Under-five mortality rate,F: Female,2016,2.759299591,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,1.920957191,3.978459629,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,Andorra,CME_MRY0T4: Under-five mortality rate,F: Female,2017,2.618700883,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,1.760552311,3.90798201,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,Andorra,CME_MRY0T4: Under-five mortality rate,F: Female,2018,2.478814421,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,1.600341233,3.850793375,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,Andorra,CME_MRY0T4: Under-five mortality rate,F: Female,2019,2.338642542,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,1.459814677,3.800243087,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,Andorra,CME_MRY0T4: Under-five mortality rate,F: Female,2020,2.244976586,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,1.341291102,3.767080796,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,Andorra,CME_MRY0T4: Under-five mortality rate,M: Male,2016,3.5212599,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,2.450022922,5.054751063,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,Andorra,CME_MRY0T4: Under-five mortality rate,M: Male,2017,3.311176299,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,2.225387787,4.901781547,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,Andorra,CME_MRY0T4: Under-five mortality rate,M: Male,2018,3.122858701,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,2.017880128,4.812722175,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,Andorra,CME_MRY0T4: Under-five mortality rate,M: Male,2019,2.965631438,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,1.831392642,4.767849282,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,Andorra,CME_MRY0T4: Under-five mortality rate,M: Male,2020,2.805165485,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,1.669951687,4.688781135,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,Andorra,CME_MRY0T4: Under-five mortality rate,_T: Total,2016,3.150899641,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,2.196502224,4.53273372,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,Andorra,CME_MRY0T4: Under-five mortality rate,_T: Total,2017,2.972230915,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,2.003566965,4.410106973,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,Andorra,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,2.80880943,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,1.821948847,4.333047195,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,Andorra,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,2.660022257,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,1.65264685,4.273256402,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,Andorra,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,2.532198096,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,1.511975387,4.224617687,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,Angola,CME_MRY0T4: Under-five mortality rate,F: Female,2016,77.62335947,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,38.5788054,136.8860938,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,Angola,CME_MRY0T4: Under-five mortality rate,F: Female,2017,74.2864651,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,35.64648174,135.3038662,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,Angola,CME_MRY0T4: Under-five mortality rate,F: Female,2018,71.19603167,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,32.93583342,133.3069735,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,Angola,CME_MRY0T4: Under-five mortality rate,F: Female,2019,68.12577621,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,30.7989842,131.9336599,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,Angola,CME_MRY0T4: Under-five mortality rate,F: Female,2020,65.49123461,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,28.76343433,129.9152991,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,Angola,CME_MRY0T4: Under-five mortality rate,M: Male,2016,90.19860458,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,44.78119823,159.5957745,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,Angola,CME_MRY0T4: Under-five mortality rate,M: Male,2017,86.50260752,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,41.68554988,157.2094764,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,Angola,CME_MRY0T4: Under-five mortality rate,M: Male,2018,83.1285136,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,38.72893576,155.7566576,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,Angola,CME_MRY0T4: Under-five mortality rate,M: Male,2019,80.14060981,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,36.2543508,153.5984413,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,Angola,CME_MRY0T4: Under-five mortality rate,M: Male,2020,77.18903924,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,33.84414033,152.168129,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,Angola,CME_MRY0T4: Under-five mortality rate,_T: Total,2016,84.07973635,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,41.74271958,148.3723925,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,Angola,CME_MRY0T4: Under-five mortality rate,_T: Total,2017,80.62629966,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,38.77174531,146.3439267,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,Angola,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,77.31711335,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,35.97245585,144.4668749,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,Angola,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,74.21841389,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,33.57637364,143.1938824,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,Angola,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,71.47146619,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,31.38173087,141.2404384,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,Antigua and Barbuda,CME_MRY0T4: Under-five mortality rate,F: Female,2016,6.80862244,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,5.27344495,8.7360754,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,Antigua and Barbuda,CME_MRY0T4: Under-five mortality rate,F: Female,2017,6.522270138,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,4.893532162,8.677647641,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,Antigua and Barbuda,CME_MRY0T4: Under-five mortality rate,F: Female,2018,6.285735993,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,4.52758378,8.650541533,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,Antigua and Barbuda,CME_MRY0T4: Under-five mortality rate,F: Female,2019,6.054383375,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,4.203324187,8.671677865,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,Antigua and Barbuda,CME_MRY0T4: Under-five mortality rate,F: Female,2020,5.860283634,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,3.918528131,8.698437173,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,Antigua and Barbuda,CME_MRY0T4: Under-five mortality rate,M: Male,2016,8.02696039,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,6.239645389,10.28946653,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,Antigua and Barbuda,CME_MRY0T4: Under-five mortality rate,M: Male,2017,7.692009959,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,5.780228662,10.22961113,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,Antigua and Barbuda,CME_MRY0T4: Under-five mortality rate,M: Male,2018,7.410716616,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,5.356399542,10.21149865,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,Antigua and Barbuda,CME_MRY0T4: Under-five mortality rate,M: Male,2019,7.143288585,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,4.979523196,10.23672874,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,Antigua and Barbuda,CME_MRY0T4: Under-five mortality rate,M: Male,2020,6.88723252,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,4.604434356,10.21937841,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,Antigua and Barbuda,CME_MRY0T4: Under-five mortality rate,_T: Total,2016,7.427921306,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,5.786732324,9.493115644,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,Antigua and Barbuda,CME_MRY0T4: Under-five mortality rate,_T: Total,2017,7.120476427,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,5.359427034,9.433509007,,,,UN_IGME,,,,,,_T: Total
