ISO_Code,Continent,Country_Name,Year,Infant_Deaths,Total_Population,Number_Births,Life_Expectancy,Infant_Mortality_Rate,Population_Growth,GDP_Per_Capita_GR,GDP_Per_Captia,Covid_Cases,% Population using Basic Saniation,Pre_Covid
ASM,Oceania,American Samoa,2017,#N/A,49463,932,72.483,#N/A,-1.95%,-3.61%,1613.490478,None,54.45476038,Y
ASM,Oceania,American Samoa,2018,#N/A,48424,879,72.4915,#N/A,-2.10%,5.62%,1704.135698,None,54.45476038,Y
ASM,Oceania,American Samoa,2019,#N/A,47320.5,835,72.3023,#N/A,-2.28%,4.33%,1777.852822,None,54.45476038,Y
BMU,North America,Bermuda,2020,#N/A,64030.5,517,81.136,#N/A,0.34%,-7.27%,107706.0398,604,99.90314002,N
AND,Europe,Andorra,2016,2,72540.5,679,82.9671,0.29%,None,N/A,37474.74584,None,99.99999506,Y
AND,Europe,Andorra,2017,2,73836.5,618,82.9803,0.32%,1.79%,3.98%,38964.66201,None,99.99999876,Y
AND,Europe,Andorra,2018,2,75013.5,593,82.9923,0.34%,1.59%,7.26%,41793.31884,None,100.0000012,Y
AND,Europe,Andorra,2019,1,76343,590,83.0039,0.17%,1.77%,-2.14%,40898.41791,None,100.0000037,Y
BES,North America,"Bonaire, Sint Eustatius and Saba",2020,#N/A,26153,284,75.9388,#N/A,2.28%,-11.66%,3137.989617,196,#N/A,N
AGO,Africa,Angola,2016,65848,29154745.5,1204674,61.0923,5.47%,None,N/A,37474.74584,None,48.62794482,Y
AGO,Africa,Angola,2017,64778,30208628,1231485,61.6798,5.26%,3.61%,3.98%,38964.66201,None,49.87698012,Y
AGO,Africa,Angola,2018,63772,31273533,1257353,62.1438,5.07%,3.53%,7.26%,41793.31884,None,51.12074396,Y
AGO,Africa,Angola,2019,62880,32353588,1284366,62.4484,4.90%,3.45%,-2.14%,40898.41791,None,51.39362406,Y
VGB,North America,British Virgin Islands,2020,#N/A,30910,229,75.8486,#N/A,0.98%,-11.70%,16318.74811,86,0,N
AIA,North America,Anguilla,2016,#N/A,14813.5,157,76.8269,#N/A,None,N/A,37474.74584,None,#N/A,Y
AIA,North America,Anguilla,2017,#N/A,15015,156,75.9208,#N/A,1.36%,3.98%,38964.66201,None,#N/A,Y
AIA,North America,Anguilla,2018,#N/A,15181,153,76.8119,#N/A,1.11%,7.26%,41793.31884,None,#N/A,Y
AIA,North America,Anguilla,2019,#N/A,15379.5,151,76.8816,#N/A,1.31%,-2.14%,40898.41791,None,#N/A,Y
CYM,North America,Cayman Islands,2020,#N/A,67310.5,799,75.1126,#N/A,1.78%,-6.63%,43258.26387,338,0,N
ATG,North America,Antigua and Barbuda,2016,9,90564.5,1055,78.1516,0.85%,None,N/A,37474.74584,None,87.50428238,Y
ATG,North America,Antigua and Barbuda,2017,9,91119,1074,78.2683,0.84%,0.61%,3.98%,38964.66201,None,87.50428238,Y
ATG,North America,Antigua and Barbuda,2018,9,91625.5,991,78.5112,0.91%,0.56%,7.26%,41793.31884,None,0,Y
ATG,North America,Antigua and Barbuda,2019,8,92116.5,1058,78.6912,0.76%,0.54%,-2.14%,40898.41791,None,0,Y
HKG,Asia,"China, Hong Kong Special Administrative Region",2020,#N/A,7500957.5,51511,85.1968,#N/A,0.06%,2.61%,10408.66976,8846,96.50417399,N
ARG,South America,Argentina,2016,7322,43668241.5,734548,76.3077,1.00%,None,N/A,6177.227235,None,95.41770247,Y
ARG,South America,Argentina,2017,6915,44054616,713799,76.833,0.97%,0.88%,1.55%,6272.949782,None,0,Y
ARG,South America,Argentina,2018,6503,44413596,674273,76.9994,0.96%,0.81%,5.78%,6635.381394,None,0,Y
ARG,South America,Argentina,2019,6095,44745520,661385,77.2845,0.92%,0.75%,-1.09%,6562.969998,None,0,Y
MAC,Asia,"China, Macao Special Administrative Region",2020,#N/A,676283,6802,85.1841,#N/A,1.90%,2.61%,10408.66976,46,100,N
ARM,Asia,Armenia,2016,512,2865835,41759,74.6639,1.23%,None,N/A,3591.828052,None,93.24201,Y
ARM,Asia,Armenia,2017,479,2851923,38968,74.9059,1.23%,-0.49%,8.98%,3914.527854,None,93.46288654,Y
ARM,Asia,Armenia,2018,447,2836557,37912,75.0645,1.18%,-0.54%,7.82%,4220.540321,None,93.68810568,Y
ARM,Asia,Armenia,2019,416,2820601.5,36521,75.4386,1.14%,-0.56%,9.10%,4604.646324,None,93.85240532,Y
CUW,North America,Cura??ao,2020,#N/A,189288.5,2138,76.0981,#N/A,-1.98%,-6.74%,85346.76195,4260,0,N
ABW,North America,Aruba,2016,#N/A,104874.5,1290,75.6168,#N/A,None,N/A,15198.74297,None,97.54348112,Y
ABW,North America,Aruba,2017,#N/A,105438.5,1215,75.903,#N/A,0.54%,1.22%,15383.5764,None,0,Y
ABW,North America,Aruba,2018,#N/A,105961.5,1045,76.0715,#N/A,0.50%,8.42%,16679.59166,None,0,Y
ABW,North America,Aruba,2019,#N/A,106442.5,971,76.248,#N/A,0.45%,4.18%,17376.64968,None,0,Y
FLK,South America,Falkland Islands (Malvinas),2020,#N/A,3746.5,43,78.4129,#N/A,0.98%,-2.56%,34191.82825,29,#N/A,N
AUS,Oceania,Australia,2016,1014,24195701.5,309448,82.8707,0.33%,None,N/A,49881.76371,None,99.99115238,Y
AUS,Oceania,Australia,2017,1010,24590333.5,311698,83.0006,0.32%,1.63%,8.12%,53934.25018,None,99.99115238,Y
AUS,Oceania,Australia,2018,1008,24979230,320272,83.3871,0.31%,1.58%,6.02%,57180.7794,None,99.99115238,Y
AUS,Oceania,Australia,2019,1005,25357170,305145,83.11,0.33%,1.51%,-4.03%,54875.28596,None,99.99115238,Y
FRO,Europe,Faroe Islands,2020,#N/A,52415,807,79.3984,#N/A,1.42%,-2.56%,34191.82825,610,0,N
AUT,Europe,Austria,2016,252,8736486.5,86827,81.5925,0.29%,None,N/A,45307.58786,None,99.97481352,Y
AUT,Europe,Austria,2017,253,8797496,87092,81.6391,0.29%,0.70%,4.68%,47429.15846,None,99.97290685,Y
AUT,Europe,Austria,2018,256,8840512.5,85281,81.6862,0.30%,0.49%,8.55%,51486.5755,None,99.97281495,Y
AUT,Europe,Austria,2019,260,8879939.5,84744,81.9077,0.31%,0.45%,-2.67%,50114.40111,None,99.97271057,Y
GUF,South America,French Guiana,2020,#N/A,290969.5,7473,76.9787,#N/A,2.43%,-1.24%,66320.6792,#N/A,#N/A,N
AZE,Asia,Azerbaijan,2016,3827,9976248,171882,72.0039,2.23%,None,N/A,3880.738731,None,96.12181161,Y
AZE,Asia,Azerbaijan,2017,3513,10071567,148053,72.2478,2.37%,0.96%,6.86%,4147.089716,None,96.12411298,Y
AZE,Asia,Azerbaijan,2018,3238,10152521.5,142871,72.7601,2.27%,0.80%,14.29%,4739.84171,None,96.12652151,Y
AZE,Asia,Azerbaijan,2019,2981,10232753,147022,73.1023,2.03%,0.79%,1.39%,4805.753718,None,96.12903013,Y
PYF,Oceania,French Polynesia,2020,#N/A,301919.5,3904,82.2167,#N/A,0.73%,-1.24%,66320.6792,16926,97.00338108,N
BHS,North America,Bahamas,2016,63,395976.5,4819,73.5368,1.31%,None,N/A,3880.738731,None,94.93058233,Y
BHS,North America,Bahamas,2017,61,399020,4643,73.6317,1.31%,0.77%,6.86%,4147.089716,None,94.93058233,Y
BHS,North America,Bahamas,2018,60,401906.5,4643,73.8057,1.29%,0.72%,14.29%,4739.84171,None,94.93058233,Y
BHS,North America,Bahamas,2019,78,404557,4641,71.205,1.68%,0.66%,1.39%,4805.753718,None,94.93058233,Y
GIB,Europe,Gibraltar,2020,#N/A,32708.5,355,82.1984,#N/A,0.07%,-1.24%,66320.6792,2040,100,N
BHR,Asia,Bahrain,2016,137,1409661,21178,79.5569,0.65%,None,N/A,22608.45256,None,100,Y
BHR,Asia,Bahrain,2017,136,1456834,20921,79.689,0.65%,3.35%,5.02%,23742.93734,None,100,Y
BHR,Asia,Bahrain,2018,133,1487339.5,20574,79.8566,0.65%,2.09%,1.45%,24086.30169,None,100,Y
BHR,Asia,Bahrain,2019,130,1494188.5,19828,80.0186,0.66%,0.46%,-2.22%,23552.37995,None,100,Y
GRL,North America,Greenland,2020,#N/A,56026.5,821,72.2834,#N/A,0.17%,-1.24%,66320.6792,27,99.59723347,N
BGD,Asia,Bangladesh,2016,87900,159784568.5,3036914,71.09,2.89%,None,N/A,31314.84456,None,48.22553857,Y
BGD,Asia,Bangladesh,2017,83233,161793963.5,2993715,71.7879,2.78%,1.26%,3.37%,32371.00818,None,49.72841199,Y
BGD,Asia,Bangladesh,2018,78659,163683958,3025083,72.5675,2.60%,1.17%,2.18%,33077.39183,None,51.21970677,Y
BGD,Asia,Bangladesh,2019,74306,165516222,3040527,72.8057,2.44%,1.12%,2.40%,33872.33431,None,52.69870337,Y
GLP,South America,Guadeloupe,2020,#N/A,395642,4417,82.4437,#N/A,0.04%,-1.24%,66320.6792,#N/A,#N/A,N
BRB,North America,Barbados,2016,39,278649,3068,76.8149,1.27%,None,N/A,31314.84456,None,96.85555159,Y
BRB,North America,Barbados,2017,38,279187,3058,76.936,1.24%,0.19%,3.37%,32371.00818,None,97.2793785,Y
BRB,North America,Barbados,2018,37,279688.5,3053,77.067,1.21%,0.18%,2.18%,33077.39183,None,97.2834998,Y
BRB,North America,Barbados,2019,36,280179.5,3050,77.2569,1.18%,0.18%,2.40%,33872.33431,None,98.09246231,Y
GUM,Oceania,Guam,2020,#N/A,169231,2771,76.6124,#N/A,0.36%,-1.24%,66320.6792,0,0,N
BLR,Europe,Belarus,2016,334,9708110,118469,74.258,0.28%,None,N/A,31314.84456,None,97.82667485,Y
BLR,Europe,Belarus,2017,310,9707876,104281,74.4519,0.30%,0.00%,3.37%,32371.00818,None,97.84621604,Y
BLR,Europe,Belarus,2018,286,9695573.5,95501,74.5676,0.30%,-0.13%,2.18%,33077.39183,None,97.8656717,Y
BLR,Europe,Belarus,2019,261,9673971,93218,74.216,0.28%,-0.22%,2.40%,33872.33431,None,97.88502524,Y
VAT,Europe,Holy See,2020,#N/A,#N/A,2,82.9669,#N/A,#N/A,-3.08%,1272.367992,27,#N/A,N
BEL,Europe,Belgium,2016,415,11316836,121005,81.2661,0.34%,None,N/A,31314.84456,None,99.4861443,Y
BEL,Europe,Belgium,2017,417,11384489.5,119292,81.3618,0.35%,0.60%,3.37%,32371.00818,None,99.4861459,Y
BEL,Europe,Belgium,2018,422,11448595.5,118034,81.4787,0.36%,0.56%,2.18%,33077.39183,None,99.48614999,Y
BEL,Europe,Belgium,2019,426,11510568,116136,81.8311,0.37%,0.54%,2.40%,33872.33431,None,99.48615574,Y
IMN,Europe,Isle of Man,2020,#N/A,84045.5,722,80.588,#N/A,0.13%,#VALUE!,N/A,377,0,N
BLZ,North America,Belize,2016,98,367312.5,7832,73.3988,1.25%,None,N/A,4877.670506,None,87.53477608,Y
BLZ,North America,Belize,2017,93,374693.5,7905,73.5624,1.18%,2.01%,0.65%,4909.604664,None,87.85852351,Y
BLZ,North America,Belize,2018,88,382066,8018,73.7031,1.10%,1.97%,0.36%,4927.194224,None,88.18441736,Y
BLZ,North America,Belize,2019,84,389095,7333,73.9313,1.15%,1.84%,1.14%,4983.336114,None,88.19850332,Y
XKX,Europe,Kosovo,2020,#N/A,1670698.5,18763,76.5666,#N/A,-0.96%,0.11%,1514.591059,#N/A,0,N
BEN,Africa,Benin,2016,24498,11260084.5,438452,59.5394,5.59%,None,N/A,4877.670506,None,15.20744644,Y
BEN,Africa,Benin,2017,24408,11596778.5,448571,59.8558,5.44%,2.99%,0.65%,4909.604664,None,15.63747225,Y
BEN,Africa,Benin,2018,24283,11940683.5,455978,60.1403,5.33%,2.97%,0.36%,4927.194224,None,16.07343638,Y
BEN,Africa,Benin,2019,24104,12290444,463053,60.4537,5.21%,2.93%,1.14%,4983.336114,None,16.51526543,Y
LIE,Europe,Liechtenstein,2020,#N/A,38756,355,82.797,#N/A,0.71%,-6.18%,20182.5845,2221,99.95,N
BMU,North America,Bermuda,2016,#N/A,63068,595,80.6078,#N/A,None,N/A,106885.8785,None,99.90314002,Y
BMU,North America,Bermuda,2017,#N/A,63275,570,82.3507,#N/A,0.33%,4.62%,111820.5815,None,99.90314002,Y
BMU,North America,Bermuda,2018,#N/A,63571,520,80.8253,#N/A,0.47%,1.10%,113050.7369,None,99.90314002,Y
BMU,North America,Bermuda,2019,#N/A,63811.5,517,81.0334,#N/A,0.38%,2.74%,116153.1661,None,99.90314002,Y
MTQ,South America,Martinique,2020,#N/A,370391,3557,83.05,#N/A,-0.50%,-6.18%,20182.5845,#N/A,#N/A,N
BTN,Asia,Bhutan,2016,342,749761.5,12059,70.6022,2.84%,None,N/A,106885.8785,None,71.27678484,Y
BTN,Asia,Bhutan,2017,332,756121.5,11271,70.8472,2.95%,0.85%,4.62%,111820.5815,None,72.62359917,Y
BTN,Asia,Bhutan,2018,321,762096.5,10503,71.1286,3.06%,0.79%,1.10%,113050.7369,None,73.94374505,Y
BTN,Asia,Bhutan,2019,310,767459,9873,71.3909,3.14%,0.70%,2.74%,116153.1661,None,75.23785494,Y
MYT,Africa,Mayotte,2020,#N/A,305586.5,10593,75.4106,#N/A,3.77%,-6.18%,20182.5845,#N/A,#N/A,N
BOL,South America,Bolivia (Plurinational State of),2016,5984,11263015.5,263168,67.6277,2.27%,None,N/A,3076.656439,None,58.45982722,Y
BOL,South America,Bolivia (Plurinational State of),2017,5720,11435533.5,262967,67.7015,2.18%,1.53%,8.92%,3351.124344,None,60.24970578,Y
BOL,South America,Bolivia (Plurinational State of),2018,5492,11606905,262815,67.748,2.09%,1.50%,5.89%,3548.59078,None,62.06257966,Y
BOL,South America,Bolivia (Plurinational State of),2019,5286,11777314.5,263006,67.841,2.01%,1.47%,0.10%,3552.068144,None,63.89830649,Y
MSR,North America,Montserrat,2020,#N/A,4500,42,75.3312,#N/A,-0.10%,-6.18%,20182.5845,13,#N/A,N
BES,North America,"Bonaire, Sint Eustatius and Saba",2016,#N/A,23769.5,263,75.4942,#N/A,None,N/A,3076.656439,None,#N/A,Y
BES,North America,"Bonaire, Sint Eustatius and Saba",2017,#N/A,24365.5,270,77.3288,#N/A,2.51%,8.92%,3351.124344,None,#N/A,Y
BES,North America,"Bonaire, Sint Eustatius and Saba",2018,#N/A,24970,276,75.6413,#N/A,2.48%,5.89%,3548.59078,None,#N/A,Y
BES,North America,"Bonaire, Sint Eustatius and Saba",2019,#N/A,25570.5,280,76.4285,#N/A,2.40%,0.10%,3552.068144,None,#N/A,Y
NCL,Oceania,New Caledonia,2020,#N/A,286403,4193,80.8252,#N/A,0.36%,-6.18%,20182.5845,38,100,N
BIH,Europe,Bosnia and Herzegovina,2016,157,3480986,31308,76.8083,0.50%,None,N/A,3076.656439,None,95.33614883,Y
BIH,Europe,Bosnia and Herzegovina,2017,150,3440027,31166,76.9349,0.48%,-1.18%,8.92%,3351.124344,None,95.36023537,Y
BIH,Europe,Bosnia and Herzegovina,2018,142,3400129,30959,77.0926,0.46%,-1.16%,5.89%,3548.59078,None,95.38506184,Y
BIH,Europe,Bosnia and Herzegovina,2019,135,3360711.5,29754,77.2412,0.45%,-1.16%,0.10%,3552.068144,None,0,Y
MNP,Oceania,Northern Mariana Islands,2020,#N/A,49586.5,612,77.1541,#N/A,-0.54%,-6.18%,20182.5845,0,79.11631606,N
BWA,Africa,Botswana,2016,2210,2352415.5,61432,65.4644,3.60%,None,N/A,3076.656439,None,76.01731234,Y
BWA,Africa,Botswana,2017,2141,2401840,61614,66.7526,3.47%,2.10%,8.92%,3351.124344,None,77.26922442,Y
BWA,Africa,Botswana,2018,2101,2451408.5,62044,65.4224,3.39%,2.06%,5.89%,3548.59078,None,78.5138996,Y
BWA,Africa,Botswana,2019,2048,2499701.5,62174,65.4636,3.29%,1.97%,0.10%,3552.068144,None,79.75168982,Y
TWN,Asia,"Other, non specified",2020,#N/A,23821464.5,186897,80.8924,#N/A,0.18%,-6.18%,20182.5845,799,#N/A,N
BRA,South America,Brazil,2016,44108,206859578,2905301,74.4415,1.52%,None,N/A,8710.06329,None,86.86024254,Y
BRA,South America,Brazil,2017,40403,208504960,2952133,74.8266,1.37%,0.80%,13.99%,9928.675897,None,87.67795802,Y
BRA,South America,Brazil,2018,39558,210166592.5,2969862,75.1095,1.33%,0.80%,-7.83%,9151.381732,None,88.49054496,Y
BRA,South America,Brazil,2019,38646,211782878,2886359,75.3379,1.34%,0.77%,-3.01%,8876.059836,None,89.29879625,Y
PRI,North America,Puerto Rico,2020,#N/A,3271564.5,26790,78.0406,#N/A,-0.65%,-6.18%,20182.5845,0,100,N
VGB,North America,British Virgin Islands,2016,#N/A,29739,229,75.7236,#N/A,None,N/A,16909.88655,None,96.85797948,Y
VGB,North America,British Virgin Islands,2017,#N/A,30060,205,74.7846,#N/A,1.08%,2.92%,17404.20747,None,0,Y
VGB,North America,British Virgin Islands,2018,#N/A,30335,215,75.8311,#N/A,0.91%,2.18%,17782.87473,None,0,Y
VGB,North America,British Virgin Islands,2019,#N/A,30610,222,75.8632,#N/A,0.91%,3.92%,18480.05659,None,0,Y
REU,Africa,R??union,2020,#N/A,957822.5,14205,82.1032,#N/A,0.89%,-19.27%,50124.38594,#N/A,#N/A,N
BRN,Asia,Brunei Darussalam,2016,60,425994,6842,74.7332,0.88%,None,N/A,27158.40565,None,0,Y
BRN,Asia,Brunei Darussalam,2017,60,430276.5,6692,74.722,0.90%,1.01%,5.20%,28571.60829,None,0,Y
BRN,Asia,Brunei Darussalam,2018,60,434274.5,6540,74.7118,0.92%,0.93%,10.70%,31628.47626,None,0,Y
BRN,Asia,Brunei Darussalam,2019,60,438048.5,6392,74.7483,0.94%,0.87%,-1.72%,31085.96193,None,0,Y
BLM,South America,Saint Barth??lemy,2020,#N/A,10680.5,86,80.223,#N/A,1.91%,-4.13%,786.3018148,0,#N/A,N
BGR,Europe,Bulgaria,2016,423,7245974.5,66073,74.8336,0.64%,None,N/A,6982.917492,None,85.9934264,Y
BGR,Europe,Bulgaria,2017,395,7182428.5,64734,74.7992,0.61%,-0.88%,4.48%,7296.092142,None,86.00383145,Y
BGR,Europe,Bulgaria,2018,368,7117430.5,62826,74.8983,0.59%,-0.90%,2.85%,7503.878588,None,86.01421235,Y
BGR,Europe,Bulgaria,2019,342,7052532,61637,75.0624,0.55%,-0.91%,-3.42%,7247.429476,None,86.02459214,Y
SHN,Africa,"Saint Helena, Ascension and Tristan da Cunha",2020,#N/A,5420.5,43,76.8673,#N/A,-0.48%,-4.13%,786.3018148,4,#N/A,N
BFA,Africa,Burkina Faso,2016,41567,19275498,751461,59.3262,5.53%,None,N/A,6982.917492,None,20.22442509,Y
BFA,Africa,Burkina Faso,2017,41197,19835858.5,752036,59.5361,5.48%,2.91%,4.48%,7296.092142,None,20.62044183,Y
BFA,Africa,Burkina Faso,2018,40845,20392723,761074,60.0466,5.37%,2.81%,2.85%,7503.878588,None,20.99241949,Y
BFA,Africa,Burkina Faso,2019,40529,20951639,769252,60.0391,5.27%,2.74%,-3.42%,7247.429476,None,21.34059658,Y
MAF,North America,Saint Martin (French part),2020,#N/A,32553,521,80.1492,#N/A,-1.72%,-4.13%,786.3018148,#N/A,100,N
BDI,Africa,Burundi,2016,18494,10903327.5,432480,60.7931,4.28%,None,N/A,6982.917492,None,45.85101814,Y
BDI,Africa,Burundi,2017,18103,11155593,426555,61.5526,4.24%,2.31%,4.48%,7296.092142,None,45.82120595,Y
BDI,Africa,Burundi,2018,17775,11493472.5,424108,61.6884,4.19%,3.03%,2.85%,7503.878588,None,45.78603939,Y
BDI,Africa,Burundi,2019,17448,11874838,431143,62.3514,4.05%,3.32%,-3.42%,7247.429476,None,45.74527589,Y
SPM,North America,Saint Pierre and Miquelon,2020,#N/A,5905.5,45,77.1392,#N/A,-0.33%,-4.13%,786.3018148,16,#N/A,N
CPV,Africa,Cabo Verde,2016,168,558394.5,10786,75.7423,1.56%,None,N/A,6982.917492,None,72.27341972,Y
CPV,Africa,Cabo Verde,2017,155,564954,10750,76.5928,1.44%,1.17%,4.48%,7296.092142,None,74.13631504,Y
CPV,Africa,Cabo Verde,2018,144,571201.5,10188,75.7331,1.41%,1.11%,2.85%,7503.878588,None,75.81517832,Y
CPV,Africa,Cabo Verde,2019,135,577030.5,10088,76.0042,1.34%,1.02%,-3.42%,7247.429476,None,77.47483233,Y
SXM,North America,Sint Maarten,2020,#N/A,43621.5,313,74.5835,#N/A,1.49%,-4.63%,45515.7577,#N/A,0,N
KHM,Asia,Cambodia,2016,9523,15624583.5,342034,70.2244,2.78%,None,N/A,6982.917492,None,56.20854526,Y
KHM,Asia,Cambodia,2017,9092,15830688.5,338417,70.5153,2.69%,1.32%,4.48%,7296.092142,None,59.32568468,Y
KHM,Asia,Cambodia,2018,8661,16025238.5,333912,70.5609,2.59%,1.23%,2.85%,7503.878588,None,62.45973544,Y
KHM,Asia,Cambodia,2019,8284,16207746,329219,70.6923,2.52%,1.14%,-3.42%,7247.429476,None,65.60982804,Y
TKL,Oceania,Tokelau,2020,#N/A,1826.5,35,75.1751,#N/A,4.25%,-7.24%,1501.779422,0,#N/A,N
CMR,Africa,Cameroon,2016,47442,23711630,895033,60.2333,5.30%,None,N/A,6982.917492,None,42.99559074,Y
CMR,Africa,Cameroon,2017,46265,24393181.5,913262,60.8103,5.07%,2.87%,4.48%,7296.092142,None,43.40049831,Y
CMR,Africa,Cameroon,2018,45193,25076746.5,920977,61.1798,4.91%,2.80%,2.85%,7503.878588,None,43.80832359,Y
CMR,Africa,Cameroon,2019,44484,25782341,932283,61.5839,4.77%,2.81%,-3.42%,7247.429476,None,44.21838866,Y
TCA,North America,Turks and Caicos Islands,2020,#N/A,44276.5,557,75.0008,#N/A,2.78%,-0.87%,1076.469727,893,0,N
CAN,North America,Canada,2016,1777,36113532,369376,82.0434,0.48%,None,N/A,42315.60371,None,99.19947682,Y
CAN,North America,Canada,2017,1757,36554347.5,373611,82.0192,0.47%,1.22%,6.65%,45129.4293,None,99.14388406,Y
CAN,North America,Canada,2018,1736,37035254,369002,82.0508,0.47%,1.32%,3.14%,46548.63841,None,99.08828896,Y
CAN,North America,Canada,2019,1715,37522584.5,363393,82.3628,0.47%,1.32%,-0.47%,46328.67184,None,99.03268117,Y
VIR,North America,Virgin Islands U.S.,2020,#N/A,100442.5,1175,74.9416,#N/A,-0.38%,-14.63%,5655.867654,0,99.37127753,N
CYM,North America,Cayman Islands,2016,#N/A,62254.5,631,74.878,#N/A,None,N/A,42315.60371,None,83.654025,Y
CYM,North America,Cayman Islands,2017,#N/A,63581,597,74.9339,#N/A,2.13%,6.65%,45129.4293,None,0,Y
CYM,North America,Cayman Islands,2018,#N/A,64884,625,74.9926,#N/A,2.05%,3.14%,46548.63841,None,0,Y
CYM,North America,Cayman Islands,2019,#N/A,66134,663,75.0678,#N/A,1.93%,-0.47%,46328.67184,None,0,Y
WLF,Oceania,Wallis and Futuna,2020,#N/A,11654.5,140,78.7639,#N/A,-0.51%,-14.63%,5655.867654,4,#N/A,N
CAF,Africa,Central African Republic,2016,13945,4904177.5,203227,53.4601,6.86%,None,N/A,42315.60371,None,15.58824143,Y
CAF,Africa,Central African Republic,2017,13660,4996741,209152,53.7207,6.53%,1.89%,6.65%,45129.4293,None,15.21648748,Y
CAF,Africa,Central African Republic,2018,13346,5094780,214277,54.3693,6.23%,1.96%,3.14%,46548.63841,None,14.84783556,Y
CAF,Africa,Central African Republic,2019,13012,5209324.5,219195,55.0253,5.94%,2.25%,-0.47%,46328.67184,None,14.4819824,Y
IND,Asia,India,2020,647688,1396387127,23138532,70.1499,2.80%,0.96%,-6.03%,1740.603808,10286709,71.26847596,N
TCD,Africa,Chad,2016,45634,14592585,662902,52.0834,6.88%,None,N/A,12831.40994,None,11.18890461,Y
TCD,Africa,Chad,2017,45457,15085884,675766,52.3076,6.73%,3.38%,11.09%,14254.7381,None,11.38071688,Y
TCD,Africa,Chad,2018,45252,15604210,691482,52.8253,6.54%,3.44%,12.58%,16047.2797,None,11.58993917,Y
TCD,Africa,Chad,2019,44990,16126866,713707,53.2594,6.30%,3.35%,1.87%,16346.56181,None,11.81708026,Y
NGA,Africa,Nigeria,2020,541477,208327404.5,7806449,52.887,6.94%,2.47%,-6.18%,20182.5845,87607,42.72256141,N
CHL,South America,Chile,2016,1566,18083879.5,228821,80.0794,0.68%,None,N/A,13690.90746,None,99.66651945,Y
CHL,South America,Chile,2017,1498,18368577,221468,80.3501,0.68%,1.57%,9.29%,14962.55685,None,100.0000026,Y
CHL,South America,Chile,2018,1434,18701450.5,221872,80.1334,0.65%,1.81%,5.41%,15772.33348,None,99.99999739,Y
CHL,South America,Chile,2019,1375,19039485.5,224350,80.3263,0.61%,1.81%,-6.80%,14699.46278,None,99.99999614,Y
PAK,Asia,Pakistan,2020,323919,227196740.5,6362705,66.2695,5.09%,1.75%,-6.18%,20182.5845,482178,68.39731114,N
CHN,Asia,China,2016,131852,1401889681,18283156,77.2177,0.72%,None,N/A,8094.363367,None,86.08596623,Y
CHN,Asia,China,2017,120075,1410275957,18427645,77.2476,0.65%,0.60%,8.93%,8816.986905,None,87.70748822,Y
CHN,Asia,China,2018,109028,1417069469,15504679,77.7444,0.70%,0.48%,12.34%,9905.342004,None,89.29564155,Y
CHN,Asia,China,2019,98805,1421864031,14633834,77.968,0.68%,0.34%,2.41%,10143.8382,None,90.85138344,Y
